,2015,2016,2017,2018,2019,2020,2021
January,36982,34598,41135,51127,42645,47440,50319
February,31974,32206,35940,39904,38643,42034,45884
March,32928,34855,39998,42201,41644,32794,45987
April,29152,32274,35486,36047,32954,19629,46000
May,30338,34292,38918,35038,41862,39502,77000
June,33092,35307,37890,40082,37403,43905,
July,33045,35526,39238,39085,44684,43725,
August,33002,39293,41390,39544,44696,58888,
September,31873,35780,40959,40343,45189,67444,
October,33008,33560,43644,39860,44905,59508,
November,33200,36769,44189,40529,48488,53335,
December,35137,36314,42960,39751,45471,43604,
