,Andhra Pradesh,Bihar,Haryana,Himachal Pradesh,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Punjab,Rajasthan,Tamil Nadu,West Bengal
Jan 2015,,,,,36982,21996,,,19624,,,
Feb 2015,,,,,31974,18215,,,17316,,,
Mar 2015,,,,,32928,19078,,,16406,,,
Apr 2015,,,,,29152,17807,,,15576,,,
May 2015,,,,,30338,19047,,,15454,,,
Jun 2015,,,,,33092,18365,,,15614,,,
Jul 2015,,,,,33045,20954,,,15095,,,
Aug 2015,,,,,33002,20885,,,15619,,,
Sep 2015,,,,,31873,18901,,,15986,,,
Oct 2015,,,,,33008,19553,,,15975,,,
Nov 2015,,,,,33200,20811,,,17089,,,
Dec 2015,,,,,35137,21236,,,19707,,,
Jan 2016,,,,,34598,21146,,,18193,,,
Feb 2016,,,,,32206,18642,,,19079,,,
Mar 2016,,,,,34855,19143,,,16119,,,
Apr 2016,,,,,32274,20167,,,15880,,,
May 2016,,,,,34292,19090,,,16331,,,
Jun 2016,,,,,35307,20335,,,15902,,,
Jul 2016,,,,,35526,23430,,,16566,,,
Aug 2016,,,,,39293,22575,,,17813,,,
Sep 2016,,,,,35780,21312,,,17451,,,
Oct 2016,,,,,33560,19884,,,16624,,,
Nov 2016,,,,,36769,18854,,,20123,,,
Dec 2016,,,,,36314,20300,,,20386,,,
Jan 2017,,,,,41135,20323,,,19081,,,
Feb 2017,,,,,35940,18124,,,17634,,,
Mar 2017,,,,,39998,19013,,,16784,,,
Apr 2017,,,,,35486,19011,,,15544,,,
May 2017,,,,,38918,20048,,,16204,,,
Jun 2017,,,,,37890,22596,,,16441,,,
Jul 2017,,,,,39238,26298,,,16089,,,
Aug 2017,,,,,41390,23096,,,17086,,,
Sep 2017,,,,,40959,21510,,,16407,,,
Oct 2017,,,,,43644,20676,,,16884,,,
Nov 2017,,,,,44189,20079,,,18861,,,
Dec 2017,,,,,42960,21286,,,20624,,,
Jan 2018,33655,7289,17818,4369,51127,22074,34451,40214,22195,20798,55390,44067
Feb 2018,28799,7872,14614,3598,39904,19351,29986,34945,19506,18301,47231,32036
Mar 2018,27363,8196,14567,3507,42201,19835,28504,34373,16005,18921,46703,29986
Apr 2018,26000,9635,13580,3013,36047,18823,26949,32105,15707,18018,43586,25484
May 2018,24387,12495,14335,3272,35038,19368,32456,35493,15975,19446,43928,27630
Jun 2018,27025,13899,14772,3048,40082,20426,33818,30526,16468,17048,43222,27509
Jul 2018,26469,15926,13115,2932,39085,23366,36523,34736,16338,15640,42633,27650
Aug 2018,27946,17933,13648,2988,39544,25679,38230,35996,17019,16023,41051,29809
Sep 2018,26637,20482,14079,3042,40343,22832,40180,38162,16131,15812,40484,31350
Oct 2018,28502,22414,15564,3315,39860,21069,37766,37942,17981,17226,46337,33413
Nov 2018,26800,22318,15941,3255,40529,21029,30349,34632,18849,17489,51602,34698
Dec 2018,29916,24467,16601,3794,39751,21674,37960,37365,19039,21648,34025,41949
Jan 2019,32321,28975,17638,3990,42645,23673,39528,41092,22456,20239,58405,44476
Feb 2019,31185,27621,15268,3794,38643,19884,36005,34139,19904,18089,46560,37050
Mar 2019,27990,28425,15316,3701,41644,20636,32911,36951,17442,17784,47772,36797
Apr 2019,26302,23537,13658,3009,32954,19976,28599,35865,15845,16651,45913,31733
May 2019,29944,24640,14630,3021,41862,20507,30506,37957,15661,17603,51639,33102
Jun 2019,30214,30440,14946,3285,37403,20505,38978,35405,16515,19766,48868,35373
Jul 2019,28505,31533,13486,2945,44684,24559,38922,37508,15771,15656,45762,36793
Aug 2019,28681,34326,14871,3176,44696,25466,44151,42983,16011,17569,47385,35742
Sep 2019,30464,27897,14861,3174,45189,24311,43517,41847,18031,19291,48621,33254
Oct 2019,33656,29168,15003,3330,44905,22003,37953,40028,16916,17924,53028,39812
Nov 2019,33218,32088,15527,3495,48488,21616,39124,38191,18972,17794,55658,41958
Dec 2019,31169,32598,18591,4050,45471,20935,39625,40062,19598,21448,38610,51471
Jan 2020,32019,38329,19066,4089,47440,21337,41281,42448,22870,21954,58132,52439
Feb 2020,26841,34015,15757,3542,42034,19682,34645,37213,18482,18056,48893,44182
Mar 2020,25440,26682,14787,3175,32794,19499,29747,35077,16185,16378,45987,36376
Apr 2020,22379,16866,12965,2904,19629,17138,24198,34328,14475,17596,41482,32933
May 2020,28092,22893,15455,3096,39502,17573,34320,48610,16753,20582,50834,36542
Jun 2020,28468,32656,15496,3053,43905,19234,37399,46496,17606,17959,50687,37480
Jul 2020,34791,30534,15590,2982,43725,20762,41303,52137,17411,17151,60052,44056
Aug 2020,55021,36355,15581,3278,58888,23150,40213,60220,18014,17918,70033,47965
Sep 2020,55941,39124,17253,3530,67444,22426,47315,66453,21393,18719,65447,46553
Oct 2020,42168,31860,16611,3665,59508,24507,45208,52260,21096,18405,60096,56450
Nov 2020,38754,30299,20194,4647,53335,21578,40283,45077,20823,21265,52231,46343
Dec 2020,39632,47908,19468,4455,43604,22728,45145,44866,23028,23581,40417,57444
Jan 2021,38179,45515,17858,3878,50319,23334,44133,41360,20682,19622,62273,51745
Feb 2021,32177,38981,13950,3215,45884,21164,36535,37391,18676,14860,52845,42479
Mar 2021,33782,29774,14908,3051,45987,20727,34667,52197,19100,16084,50959,35659
Apr 2021,39899,33161,28276,3769,46000,20350,68535,117723,24983,26251,58775,46816
May 2021,137258,68319,46108,7267,77000,28642,164838,89452,37292,49046,93573,76183
Jun 2021,67406,,,,93797,,,,26656,,,
Jul 2021,36907,,,,,,,,,,,
